Article Title,URL,Revision ID
UtqiaÄ¡vik,https://en.wikipedia.org/wiki/Utqia%C4%A1vik,1134590975
Los Angeles,https://en.wikipedia.org/wiki/Los_Angeles,1179884299
San Diego,https://en.wikipedia.org/wiki/San_Diego,1179731562
San Francisco,https://en.wikipedia.org/wiki/San_Francisco,1179757041
2020 United States census,https://en.wikipedia.org/wiki/2020_United_States_census,1179894823
2010 United States census,https://en.wikipedia.org/wiki/2010_United_States_census,1179393707
Denver,https://en.wikipedia.org/wiki/Denver,1179230182
County (United States),https://en.wikipedia.org/wiki/County_(United_States),1178988667
Miami,https://en.wikipedia.org/wiki/Miami,1178356265
Atlanta,https://en.wikipedia.org/wiki/Atlanta,1179559644
Echols County,https://en.wikipedia.org/wiki/Echols_County,16382631
"Wailua, Kauai","https://en.wikipedia.org/wiki/Wailua,_Kauai",803250531
Indianapolis,https://en.wikipedia.org/wiki/Indianapolis,1179780777
New Orleans,https://en.wikipedia.org/wiki/New_Orleans,1179759908
Boston,https://en.wikipedia.org/wiki/Boston,1179780087
Nantucket,https://en.wikipedia.org/wiki/Nantucket,1174693890
"Hyde Park, Boston","https://en.wikipedia.org/wiki/Hyde_Park,_Boston",1178953336
Detroit,https://en.wikipedia.org/wiki/Detroit,1179498324
Minneapolis,https://en.wikipedia.org/wiki/Minneapolis,1179857225
St. Louis,https://en.wikipedia.org/wiki/St._Louis,1178596053
Las Vegas,https://en.wikipedia.org/wiki/Las_Vegas,1179264293
Population,https://en.wikipedia.org/wiki/Population,1179591354
Square mile,https://en.wikipedia.org/wiki/Square_mile,1179747974
New York City,https://en.wikipedia.org/wiki/New_York_City,1179857146
Federal Information Processing Standards,https://en.wikipedia.org/wiki/Federal_Information_Processing_Standards,1172478013
American National Standards Institute,https://en.wikipedia.org/wiki/American_National_Standards_Institute,1175882108
Geographic Names Information System,https://en.wikipedia.org/wiki/Geographic_Names_Information_System,1179447400
Oklahoma City,https://en.wikipedia.org/wiki/Oklahoma_City,1179249699
Philadelphia,https://en.wikipedia.org/wiki/Philadelphia,1179132135
Pittsburgh,https://en.wikipedia.org/wiki/Pittsburgh,1179872663
Grand Divisions of Tennessee,https://en.wikipedia.org/wiki/Grand_Divisions_of_Tennessee,1175359799
Salt Lake City,https://en.wikipedia.org/wiki/Salt_Lake_City,1178760452
Wikipedia:Citation needed,https://en.wikipedia.org/wiki/Wikipedia:Citation_needed,1154207925
Seattle,https://en.wikipedia.org/wiki/Seattle,1179492950
Milwaukee,https://en.wikipedia.org/wiki/Milwaukee,1179894525
